team_name_2015,gp,w,l,w_pct_2015,3pm_2015,team_name_2016,gp,w,l,w_pct_2016,3pm_2016,team_name_2017,gp,w,l,w_pct_2017,3pm_2017,team_name_2018,gp,w,l,w_pct_2018,3pm_2018
Atlanta Hawks,82,48,34,0.585,9.9,Atlanta Hawks,82,43,39,0.524,8.9,Atlanta Hawks,82,24,58,0.293,11.2,Atlanta Hawks,82,29,53,0.354,13
Boston Celtics,82,48,34,0.585,8.7,Boston Celtics,82,53,29,0.646,12,Boston Celtics,82,55,27,0.671,11.5,Boston Celtics,82,49,33,0.598,12.6
Brooklyn Nets,82,21,61,0.256,6.5,Brooklyn Nets,82,20,62,0.244,10.7,Brooklyn Nets,82,28,54,0.341,12.7,Brooklyn Nets,82,42,40,0.512,12.8
Charlotte Hornets,82,48,34,0.585,10.6,Charlotte Hornets,82,36,46,0.439,10,Charlotte Hornets,82,36,46,0.439,10,Charlotte Hornets,82,39,43,0.476,11.9
Chicago Bulls,82,42,40,0.512,7.9,Chicago Bulls,82,41,41,0.5,7.6,Chicago Bulls,82,27,55,0.329,11,Chicago Bulls,82,22,60,0.268,9.1
Cleveland Cavaliers,82,57,25,0.695,10.7,Cleveland Cavaliers,82,51,31,0.622,13,Cleveland Cavaliers,82,50,32,0.61,12,Cleveland Cavaliers,82,19,63,0.232,10.3
Detroit Pistons,82,44,38,0.537,9,Detroit Pistons,82,37,45,0.451,7.7,Detroit Pistons,82,39,43,0.476,10.8,Detroit Pistons,82,41,41,0.5,12.1
Indiana Pacers,82,45,37,0.549,8.1,Indiana Pacers,82,42,40,0.512,8.6,Indiana Pacers,82,48,34,0.585,9,Indiana Pacers,82,48,34,0.585,9.5
Miami Heat,82,48,34,0.585,6.1,Miami Heat,82,41,41,0.5,9.9,Miami Heat,82,44,38,0.537,11,Miami Heat,82,39,43,0.476,11.3
Milwaukee Bucks,82,33,49,0.402,5.4,Milwaukee Bucks,82,42,40,0.512,8.8,Milwaukee Bucks,82,44,38,0.537,8.8,Milwaukee Bucks,82,60,22,0.732,13.5
New York Knicks,82,32,50,0.39,7.4,New York Knicks,82,31,51,0.378,8.6,New York Knicks,82,29,53,0.354,8.2,New York Knicks,82,17,65,0.207,10
Orlando Magic,82,35,47,0.427,7.8,Orlando Magic,82,29,53,0.354,8.5,Orlando Magic,82,25,57,0.305,10.3,Orlando Magic,82,42,40,0.512,11.4
Philadelphia 76ers,82,10,72,0.122,9.3,Philadelphia 76ers,82,28,54,0.341,10.1,Philadelphia 76ers,82,52,30,0.634,11,Philadelphia 76ers,82,51,31,0.622,10.8
Toronto Raptors,82,56,26,0.683,8.6,Toronto Raptors,82,51,31,0.622,8.8,Toronto Raptors,82,59,23,0.72,11.8,Toronto Raptors,82,58,24,0.707,12.4
Washington Wizards,82,41,41,0.5,8.6,Washington Wizards,82,49,33,0.598,9.2,Washington Wizards,82,43,39,0.524,9.9,Washington Wizards,82,32,50,0.39,11.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,82,32,50,0.39,,,,,,,,,,,,,,,,,,,